Timestep,SimStepTime,ImageConversionTime,ImageWriteTime
160,0.043774,0.0016943,0.0033891
161,0.0442546,0.001652,0.003094
162,0.0439108,0.0016648,0.003175
163,0.0428167,0.0016791,0.0030544
164,0.0423708,0.0016782,0.0030619
165,0.0431655,0.0015509,0.0030169
166,0.0453146,0.0017692,0.0030618
167,0.0436115,0.0018111,0.0033497
168,0.0419955,0.0019185,0.0029762
169,0.0441497,0.0017825,0.0029887
170,0.0421954,0.0016984,0.0031001
171,0.0451176,0.0016727,0.0030979
172,0.0445637,0.0017547,0.0030661
173,0.0417972,0.0015545,0.0029856
174,0.0420595,0.001652,0.0030846
175,0.0422412,0.0017221,0.0030846
176,0.0434923,0.0015966,0.0087583
177,0.0450395,0.0016524,0.0030614
178,0.0437162,0.0015854,0.0030701
179,0.0431158,0.0016464,0.0030415
180,0.0452859,0.0016796,0.0030322
181,0.0456287,0.0017386,0.0031571
182,0.0455984,0.0016346,0.0029727
183,0.0441025,0.0016794,0.0048481
184,0.0458233,0.0016225,0.0032737
185,0.0482044,0.0018409,0.0029985
186,0.0491625,0.0034172,0.0034808
187,0.0519771,0.0057068,0.0029367
188,0.0459238,0.0067911,0.0050385
189,0.043314,0.00154,0.0030632
190,0.0426155,0.001596,0.0030939
191,0.0438736,0.0017524,0.0032221
192,0.0433886,0.001864,0.0029256
193,0.0431121,0.0020363,0.0029573
194,0.0425413,0.0018102,0.0032285
195,0.0448047,0.0016323,0.0057839
196,0.0431879,0.0017811,0.0031601
197,0.0418443,0.0019432,0.0031025
198,0.0430011,0.0017106,0.0034416
199,0.041169,0.0016794,0.0035147
200,0.0415465,0.001659,0.00331
201,0.0439125,0.0018726,0.0040488
202,0.0461898,0.0018624,0.0031578
203,0.0422444,0.0016989,0.0030922
204,0.0427528,0.0018582,0.0030506
205,0.0421373,0.0016706,0.0032689
206,0.0439192,0.0016975,0.0031103
207,0.0484638,0.0016657,0.0030867
208,0.0424618,0.0017922,0.0031008
209,0.0418936,0.0019209,0.0031223
210,0.0455236,0.0016604,0.003033
211,0.0471975,0.0016489,0.0031007
212,0.0435465,0.0016424,0.0030528
213,0.0465626,0.0016804,0.0031168
214,0.0425663,0.0019799,0.0030433
